,Case Number,Year,Type,Country,Area,Activity,Sex,Age,Injury,Fatal (Y/N),Provoked
3681,1964.06.1.a,1960's,Boat,PAPUA NEW GUINEA,New Britain,Fishing,Undefined,0.0,"No injury to occupant, shark lifted canoe's outrigger",No,Unknown
3682,1964.06.2.a,1960's,Unprovoked,FIJI,Lau Group,Spearfishing,Undefined,23.0,Buttocks bitten,No,
3683,1964.06.0.a,1960's,Invalid,SOUTH AFRICA,KwaZulu-Natal,Swimming,Undefined,40.0,"Skeletonized, except for head & feet. Possibly a drowning / scavenging",Unknown,Unknown
3684,1964.05.3.a,1960's,Unprovoked,PANAMA,Caribbean Coast,Standing,Undefined,47.0,No injury,No,
3685,1964.05.0.a,1960's,Unprovoked,FIJI,Vita Levu,Spearfishing,Undefined,35.0,"FATAL, buttocks, lower abdomen & genitalia removed  ",Yes,
3686,1964.05.0.a,1960's,Unprovoked,PANAMA,San Blas Islands,Skin diving,Undefined,13.0,"FATAL, torso / abdomen severely bitten  ",Yes,
3687,1964.04.0.a,1960's,Unprovoked,PAPUA NEW GUINEA,Madang Province,Fishing,Undefined,0.0,FATAL,Yes,
3688,1964.03.28.b,1960's,Unprovoked,AUSTRALIA,South Australia,Surfing,Undefined,19.0,Left thigh lacerated,No,
3689,1964.03.28.a,1960's,Sea Disaster,PAPUA NEW GUINEA,Central Province,Unknown,Undefined,32.0,Presumed FATAL,Yes,Unknown
3690,1964.03.0.a,1960's,Unprovoked,USA,Florida,Skin diving ,Undefined,38.0,"Minor injury, abdomen abraded when he collided with the shark",No,
3691,1964.03.0.a,1960's,Unprovoked,SENEGAL,Cap Vert Peninsula,Free diving for shell,Undefined,0.0,Thigh & hand bitten,No,
